"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787508490753204224","Wed May 08 11:00:59 +0000 2024","1","@festusErhun @nocontextfooty Shakira..!","1788162175061598376","","festusErhun","in","","0","0","0","https://twitter.com/RojasLino/status/1788162175061598376","234643876","RojasLino"
"1787045141934641570","Wed May 08 10:30:49 +0000 2024","0","@pemudaidamanid Better nabung sendiri dipisah antara uang kebutuhan sama uang untuk jaga-jaga jika ada sesuatu. Toh asuransi juga cuma ambil dari duit tabungan di asuransi. Pernah kasus saya asuransi bangkrut uang saya tidak kembali utuh.","1788154582801265150","","pemudaidamanid","in","","0","0","0","https://twitter.com/SN00PYD00/status/1788154582801265150","891125224661368833","SN00PYD00"
"1788153593746313406","Wed May 08 10:26:53 +0000 2024","0","RENAN VIRGEM AHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUAHUA","1788153593746313406","","","in","Federative Republic of Bostil","0","0","0","https://twitter.com/lucialinuxlover/status/1788153593746313406","1772238355423436800","lucialinuxlover"
"1788117130895917459","Wed May 08 10:24:38 +0000 2024","1","@kineyDE Gumoing Jannik!","1788153025644593334","","kineyDE","in","","0","0","0","https://twitter.com/LinuxEmbed27/status/1788153025644593334","1490351244971593743","LinuxEmbed27"
"1788152823412383881","Wed May 08 10:24:16 +0000 2024","4","asahi linux + hyprland","1788152935609970983","","Muzann_","in","","0","4","0","https://twitter.com/Muzann_/status/1788152935609970983","1295465753899077632","Muzann_"
"1788148372546912355","Wed May 08 10:06:08 +0000 2024","0","Hahahaha ingat senang ke nak trace ip address terus dapat location pakai linux lol ! patut baca pun dh sus","1788148372546912355","","","in","","0","0","0","https://twitter.com/kimikaze__/status/1788148372546912355","1005586481585401856","kimikaze__"
"1788128708899012804","Wed May 08 08:48:00 +0000 2024","0","punya 2 laptop dengan 1 linux? 1 windows? malas operasiin pindah layar ke laptop satunya? capek wsl ambil banyak resource karena ram yang limited? SSH solusinya haha","1788128708899012804","","","in","Anywhere, Indonesia","0","0","0","https://twitter.com/alfianahar/status/1788128708899012804","191366570","alfianahar"
"1787104683288617295","Wed May 08 08:22:11 +0000 2024","4","@BERRY_1394 @c__milsa @Biano64 @Kang_Yudi21 @surasujaya @dd9966 @MEY_ARD1ANSYAH @AmiramiraG @DeniSoeprijadie @KokomKomsari @momiCantikk @aniesygmanies @yulyul_423 @Samsi_item @ciciphoci @DaniCicadasBdg @NengRR100 @Iyaaaa_iniaku @njkomara26 Getex2 Linux tea nya bah ?","1788122210437366082","","BERRY_1394","in","Bandung, Jawa Barat","0","1","0","https://twitter.com/NoeyIgir/status/1788122210437366082","1540613295077335040","NoeyIgir"
"1788108557159702766","Wed May 08 07:27:56 +0000 2024","0","Linux Lite 7.0 RC1 duyuruldu https://t.co/iuandC3Kk6","1788108557159702766","","","in","debian.org.tr/Ana_sayfa","0","0","0","https://twitter.com/debiantr/status/1788108557159702766","151454783","debiantr"
"1788108418743439509","Wed May 08 07:27:23 +0000 2024","0","Linux Lite 7.0 RC1 duyuruldu https://t.co/Lt6HdwR8N5","1788108418743439509","","","in","","0","0","0","https://twitter.com/getGNU/status/1788108418743439509","2387719298","getGNU"
"1788104686345580920","Wed May 08 07:12:33 +0000 2024","0","mau join jurusan IT versiku 1. Sistem Operasi (ngoding + linux = mending gua nenggak asam sulfat) 2. Jaringan Komputer (apalah topologi2 itu anjeng looks like martabak telor on spider web) 3. Pemrograman Jaringan (lanjutannya jarkom lebih abstrak lg yaallah pait pait pait)","1788104686345580920","","","in","surga firdaus","0","1","0","https://twitter.com/karina_aeshiap/status/1788104686345580920","1292705539298701313","karina_aeshiap"
"1788101960731926542","Wed May 08 07:01:43 +0000 2024","0","kena gocek sama dosen backcover mac pas liat layar laptopnya dell os nya linux https://t.co/KoX2dJ7Cu9","1788101960731926542","https://pbs.twimg.com/media/GNCdQX0bYAAPeQn.jpg","","in","Distrik 0541","0","0","0","https://twitter.com/mxckxprnt/status/1788101960731926542","1667205710","mxckxprnt"
"1788094562302615961","Wed May 08 06:39:28 +0000 2024","2","@XavierNaxa admin..brkisar politik pn sgt tk best. X best klo kita scroll pasal teknologi. cth windows macOS linux chromeOS.","1788096359566045300","","XavierNaxa","in","kuala lumpur","0","1","0","https://twitter.com/alwalid0000/status/1788096359566045300","2741090965","alwalid0000"
"1787827954908815546","Wed May 08 05:53:08 +0000 2024","0","@shisouhan25 @uibaseNG udah pernah ngerasain bektim depok lebih konsisten kereta + ga pegel linux","1788084700625727837","","shisouhan25","in","Indonesia","0","0","0","https://twitter.com/JasonJasu/status/1788084700625727837","1108047388965392386","JasonJasu"
"1788081389025579517","Wed May 08 05:41:30 +0000 2024","0","@nsyafiq_najib Aduh macbook lawa la tp tu la xreti nk troubleshoot guna linux ","1788081775639740434","","nsyafiq_najib","in","Johore, Malaysia","0","0","0","https://twitter.com/AinuLuniA/status/1788081775639740434","205584288","AinuLuniA"
"1787856816228933962","Wed May 08 05:21:24 +0000 2024","0","@GabbbarSingh Teri aukaat k bahar ki cheez h","1788076714708410675","","GabbbarSingh","in","","0","0","0","https://twitter.com/linus3120/status/1788076714708410675","3068417227","linus3120"
"1788067911925727340","Wed May 08 04:54:57 +0000 2024","1","@DaddyMinusSugar @McAfee McAfee ini termasuk antivirus pioner. Entah kenapa lalu kalah bersaing sekarang - Mantan user Mcafee sebelum beralih pakai linux de ","1788070059061244096","","DaddyMinusSugar","in","","0","1","0","https://twitter.com/blank0429/status/1788070059061244096","2908675710","blank0429"
